"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Ethnicity"	"Ethnicity Code"	"Race"	"Race Code"	Population
	"Inyo County, CA"	"06027"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	40
	"Inyo County, CA"	"06027"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	1708
	"Inyo County, CA"	"06027"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	1079
	"Inyo County, CA"	"06027"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	167
	"Inyo County, CA"	"06027"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	112
	"Inyo County, CA"	"06027"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	5584
	"Inyo County, CA"	"06027"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	320
	"Inyo County, CA"	"06027"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	24
	"Inyo County, CA"	"06027"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	47
	"Inyo County, CA"	"06027"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	1778
	"Inyo County, CA"	"06027"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	941
	"Inyo County, CA"	"06027"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	145
	"Inyo County, CA"	"06027"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	161
	"Inyo County, CA"	"06027"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	5620
	"Kern County, CA"	"06029"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	10305
	"Kern County, CA"	"06029"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	4208
	"Kern County, CA"	"06029"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	5544
	"Kern County, CA"	"06029"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	217459
	"Kern County, CA"	"06029"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	3432
	"Kern County, CA"	"06029"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	23461
	"Kern County, CA"	"06029"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	23474
	"Kern County, CA"	"06029"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	151285
	"Kern County, CA"	"06029"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	10700
	"Kern County, CA"	"06029"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	4151
	"Kern County, CA"	"06029"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	5555
	"Kern County, CA"	"06029"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	233623
	"Kern County, CA"	"06029"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	3168
	"Kern County, CA"	"06029"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	22731
	"Kern County, CA"	"06029"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	27884
	"Kern County, CA"	"06029"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	153222
	"Kings County, CA"	"06031"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	1911
	"Kings County, CA"	"06031"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	608
	"Kings County, CA"	"06031"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	984
	"Kings County, CA"	"06031"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	35188
	"Kings County, CA"	"06031"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	772
	"Kings County, CA"	"06031"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	3372
	"Kings County, CA"	"06031"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	3251
	"Kings County, CA"	"06031"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	22512
	"Kings County, CA"	"06031"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	2200
	"Kings County, CA"	"06031"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	768
	"Kings County, CA"	"06031"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	1182
	"Kings County, CA"	"06031"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	41673
	"Kings County, CA"	"06031"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	796
	"Kings County, CA"	"06031"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	3146
	"Kings County, CA"	"06031"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	7307
	"Kings County, CA"	"06031"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	27270
	"Lake County, CA"	"06033"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	742
	"Lake County, CA"	"06033"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	112
	"Lake County, CA"	"06033"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	161
	"Lake County, CA"	"06033"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	5859
	"Lake County, CA"	"06033"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	1008
	"Lake County, CA"	"06033"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	585
	"Lake County, CA"	"06033"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	734
	"Lake County, CA"	"06033"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	22991
	"Lake County, CA"	"06033"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	831
	"Lake County, CA"	"06033"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	110
	"Lake County, CA"	"06033"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	162
	"Lake County, CA"	"06033"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	6194
	"Lake County, CA"	"06033"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	954
	"Lake County, CA"	"06033"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	524
	"Lake County, CA"	"06033"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	893
	"Lake County, CA"	"06033"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	22526
	"Lassen County, CA"	"06035"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	182
	"Lassen County, CA"	"06035"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	23
	"Lassen County, CA"	"06035"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	59
	"Lassen County, CA"	"06035"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	1377
	"Lassen County, CA"	"06035"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	437
	"Lassen County, CA"	"06035"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	352
	"Lassen County, CA"	"06035"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	243
	"Lassen County, CA"	"06035"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	8874
	"Lassen County, CA"	"06035"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	346
	"Lassen County, CA"	"06035"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	93
	"Lassen County, CA"	"06035"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	143
	"Lassen County, CA"	"06035"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	3687
	"Lassen County, CA"	"06035"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	567
	"Lassen County, CA"	"06035"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	349
	"Lassen County, CA"	"06035"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	2404
	"Lassen County, CA"	"06035"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	11437
	"Los Angeles County, CA"	"06037"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	69765
	"Los Angeles County, CA"	"06037"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	46102
	"Los Angeles County, CA"	"06037"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	59377
	"Los Angeles County, CA"	"06037"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	2272495
	"Los Angeles County, CA"	"06037"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	14037
	"Los Angeles County, CA"	"06037"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	832089
	"Los Angeles County, CA"	"06037"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	443155
	"Los Angeles County, CA"	"06037"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	1353046
	"Los Angeles County, CA"	"06037"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	72608
	"Los Angeles County, CA"	"06037"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	45840
	"Los Angeles County, CA"	"06037"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	57591
	"Los Angeles County, CA"	"06037"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	2258192
	"Los Angeles County, CA"	"06037"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	12909
	"Los Angeles County, CA"	"06037"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	730365
	"Los Angeles County, CA"	"06037"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	399644
	"Los Angeles County, CA"	"06037"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	1371892
	"Madera County, CA"	"06039"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	2822
	"Madera County, CA"	"06039"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	588
	"Madera County, CA"	"06039"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	911
	"Madera County, CA"	"06039"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	42040
	"Madera County, CA"	"06039"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	1083
	"Madera County, CA"	"06039"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	1945
	"Madera County, CA"	"06039"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	3737
	"Madera County, CA"	"06039"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	28316
	"Madera County, CA"	"06039"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	2951
	"Madera County, CA"	"06039"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	616
	"Madera County, CA"	"06039"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	836
	"Madera County, CA"	"06039"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	41719
	"Madera County, CA"	"06039"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	904
	"Madera County, CA"	"06039"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	1812
	"Madera County, CA"	"06039"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	1799
	"Madera County, CA"	"06039"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	25248
	"Marin County, CA"	"06041"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	972
	"Marin County, CA"	"06041"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	587
	"Marin County, CA"	"06041"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	450
	"Marin County, CA"	"06041"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	18373
	"Marin County, CA"	"06041"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	334
	"Marin County, CA"	"06041"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	11177
	"Marin County, CA"	"06041"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	3074
	"Marin County, CA"	"06041"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	97242
	"Marin County, CA"	"06041"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	1292
	"Marin County, CA"	"06041"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	644
	"Marin County, CA"	"06041"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	560
	"Marin County, CA"	"06041"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	19282
	"Marin County, CA"	"06041"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	431
	"Marin County, CA"	"06041"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	8363
	"Marin County, CA"	"06041"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	4864
	"Marin County, CA"	"06041"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	91181
	"Mariposa County, CA"	"06043"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	103
	"Mariposa County, CA"	"06043"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	9
	"Mariposa County, CA"	"06043"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	32
	"Mariposa County, CA"	"06043"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	871
	"Mariposa County, CA"	"06043"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	235
	"Mariposa County, CA"	"06043"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	156
	"Mariposa County, CA"	"06043"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	163
	"Mariposa County, CA"	"06043"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	6870
	"Mariposa County, CA"	"06043"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	97
	"Mariposa County, CA"	"06043"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	20
	"Mariposa County, CA"	"06043"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	29
	"Mariposa County, CA"	"06043"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	912
	"Mariposa County, CA"	"06043"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	316
	"Mariposa County, CA"	"06043"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	150
	"Mariposa County, CA"	"06043"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	160
	"Mariposa County, CA"	"06043"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	7080
	"Mendocino County, CA"	"06045"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	1155
	"Mendocino County, CA"	"06045"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	157
	"Mendocino County, CA"	"06045"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	164
	"Mendocino County, CA"	"06045"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	9224
	"Mendocino County, CA"	"06045"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	2016
	"Mendocino County, CA"	"06045"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	1289
	"Mendocino County, CA"	"06045"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	474
	"Mendocino County, CA"	"06045"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	29249
	"Mendocino County, CA"	"06045"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	1335
	"Mendocino County, CA"	"06045"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	138
	"Mendocino County, CA"	"06045"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	220
	"Mendocino County, CA"	"06045"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	9986
	"Mendocino County, CA"	"06045"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	1900
	"Mendocino County, CA"	"06045"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	855
	"Mendocino County, CA"	"06045"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	703
	"Mendocino County, CA"	"06045"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	27884
	"Merced County, CA"	"06047"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	3257
	"Merced County, CA"	"06047"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	1388
	"Merced County, CA"	"06047"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	1737
	"Merced County, CA"	"06047"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	76840
	"Merced County, CA"	"06047"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	724
	"Merced County, CA"	"06047"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	10503
	"Merced County, CA"	"06047"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	4495
	"Merced County, CA"	"06047"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	38551
	"Merced County, CA"	"06047"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	3416
	"Merced County, CA"	"06047"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	1450
	"Merced County, CA"	"06047"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	1676
	"Merced County, CA"	"06047"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	79678
	"Merced County, CA"	"06047"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	704
	"Merced County, CA"	"06047"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	10737
	"Merced County, CA"	"06047"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	4978
	"Merced County, CA"	"06047"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	37546
	"Modoc County, CA"	"06049"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	106
	"Modoc County, CA"	"06049"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	9
	"Modoc County, CA"	"06049"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	29
	"Modoc County, CA"	"06049"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	486
	"Modoc County, CA"	"06049"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	158
	"Modoc County, CA"	"06049"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	58
	"Modoc County, CA"	"06049"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	54
	"Modoc County, CA"	"06049"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	3493
	"Modoc County, CA"	"06049"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	111
	"Modoc County, CA"	"06049"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	9
	"Modoc County, CA"	"06049"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	27
	"Modoc County, CA"	"06049"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	514
	"Modoc County, CA"	"06049"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	139
	"Modoc County, CA"	"06049"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	66
	"Modoc County, CA"	"06049"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	119
	"Modoc County, CA"	"06049"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	3463
	"Mono County, CA"	"06051"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	93
	"Mono County, CA"	"06051"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	14
	"Mono County, CA"	"06051"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	24
	"Mono County, CA"	"06051"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	1703
	"Mono County, CA"	"06051"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	149
	"Mono County, CA"	"06051"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	170
	"Mono County, CA"	"06051"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	76
	"Mono County, CA"	"06051"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	4557
	"Mono County, CA"	"06051"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	104
	"Mono County, CA"	"06051"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	9
	"Mono County, CA"	"06051"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	31
	"Mono County, CA"	"06051"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	1897
	"Mono County, CA"	"06051"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	125
	"Mono County, CA"	"06051"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	257
	"Mono County, CA"	"06051"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	116
	"Mono County, CA"	"06051"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	5119
	"Monterey County, CA"	"06053"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	5429
	"Monterey County, CA"	"06053"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	3161
	"Monterey County, CA"	"06053"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	2475
	"Monterey County, CA"	"06053"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	113768
	"Monterey County, CA"	"06053"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	850
	"Monterey County, CA"	"06053"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	15793
	"Monterey County, CA"	"06053"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	4817
